,Partido,Poblacion,Matricula secundario
1,Almirante Brown ,552902,44302
2,Avellaneda ,342677,26862
3,Berazategui ,324344,29422
4,Esteban Echeverría ,300959,27542
5,Ezeiza ,163722,15905
6,Florencio Varela ,426005,36965
7,General San Martín ,414196,28504
8,Hurlingham ,181241,11740
9,Ituzaingó ,167824,13245
10,José C. Paz ,265981,26073
11,La Matanza ,1775816,105026
12,Lanús ,459263,33194
13,Lomas de Zamora ,616279,55731
14,Malvinas Argentinas ,322375,26875
15,Merlo ,528494,45539
16,Moreno ,452505,42114
17,Morón ,321109,28101
18,Quilmes ,582943,45974
19,San Fernando ,163240,12370
20,San Isidro ,292878,24451
21,San Miguel ,276190,29204
22,Tigre ,376381,32619
23,Tres de Febrero ,340071,20713
24,Vicente López ,269420,16342
