,-,Estudiantes,Estudiantes,Estudiantes,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Reinscriptos,Reinscriptos,Reinscriptos,Egresados,Egresados,Egresados
0,Institución,Total,Mujeres,Varones,Total,Mujeres,Varones,Total,Mujeres,Varones,Total,Mujeres,Varones
1,Total de las instituciones,1437611,826768,610843,315593,181559,134034,1122018,645209,476809,80343,49261,31082
2,Total Universidades Nacionales,1388587,797826,590761,301841,173691,128150,1086746,624135,462611,76923,47658,29265
3,Arturo Jauretche,7824,4854,2970,3982,2530,1452,3842,2324,1518,-,-,-
4,Avellaneda,4523,2553,1970,1957,1278,679,2566,1275,1291,54,40,14
5,Buenos Aires,319866,193542,126324,51697,31843,19854,268169,161699,106470,17129,11186,5943
6,Catamarca,12015,6834,5181,2821,1508,1313,9194,5326,3868,390,235,155
7,Centro de la PBA,13554,6887,6667,2666,1411,1255,10888,5476,5412,655,319,336
8,Chaco Austral,3161,1780,1381,1098,603,495,2063,1177,886,25,15,10
9,Chilecito,3308,2120,1188,595,376,219,2713,1744,969,103,83,20
10,Comahue,30923,20086,10837,8911,5526,3385,22012,14560,7452,1059,747,312
11,Córdoba,108373,67408,40965,22318,13940,8378,86055,53468,32587,6910,4563,2347
12,Cuyo,31587,19614,11973,6816,4214,2602,24771,15400,9371,2361,1421,940
13,Entre Ríos,14901,9470,5431,4351,2751,1600,10550,6719,3831,1237,870,367
14,Formosa,11418,7277,4141,3505,2136,1369,7913,5141,2772,286,192,94
15,Gral. Sarmiento,7125,3355,3770,1746,764,982,5379,2591,2788,210,112,98
16,José C. Paz (1),3090,2002,1088,3090,2002,1088,-,-,-,-,-,-
17,Jujuy,14800,8157,6643,3837,1965,1872,10963,6192,4771,199,112,87
18,La Matanza,36338,20048,16290,6237,3457,2780,30101,16591,13510,1983,1196,787
19,La Pampa,9100,5678,3422,2281,1472,809,6819,4206,2613,469,291,178
20,La Plata,109803,61144,48659,21374,11661,9713,88429,49483,38946,6094,3915,2179
21,La Rioja,18589,11242,7347,4878,2885,1993,13711,8357,5354,633,383,250
22,Lanús,12825,7621,5204,3262,1949,1313,9563,5672,3891,491,353,138
23,Litoral,44268,25259,19009,9937,5806,4131,34331,19453,14878,2155,1347,808
24,Lomas de Zamora,34434,19773,14661,7512,4131,3381,26922,15642,11280,2515,1421,1094
25,Luján,18339,11867,6472,5519,3579,1940,12820,8288,4532,888,642,246
26,Mar del Plata,23184,14238,8946,4932,2809,2123,18252,11429,6823,1158,726,432
27,Misiones,20955,12886,8069,5866,3736,2130,15089,9150,5939,820,539,281
28,Moreno,3668,2228,1440,1474,923,551,2194,1305,889,5,3,2
29,Nordeste,50403,28136,22267,11540,6420,5120,38863,21716,17147,3087,1863,1224
30,Noroeste de la PBA,6225,3243,2982,1298,690,608,4927,2553,2374,179,105,74
31,Oeste,1657,1050,607,738,457,281,919,593,326,21,12,9
32,Patagonia Austral,7289,5018,2271,3076,1989,1087,4213,3029,1184,161,132,29
33,Patagonia S. J. Bosco,13292,8333,4959,3331,2032,1299,9961,6301,3660,394,259,135
34,Quilmes,22451,13806,8645,5654,3535,2119,16797,10271,6526,839,593,246
35,Río Cuarto,15290,8929,6361,3101,1879,1222,12189,7050,5139,909,510,399
36,Río Negro,6988,4134,2854,3343,1927,1416,3645,2207,1438,132,75,57
37,Rosario,74234,45247,28987,15143,9096,6047,59091,36151,22940,10016,6326,3690
38,Salta,28015,16172,11843,5956,3267,2689,22059,12905,9154,509,310,199
39,San Juan,20533,11382,9151,3904,2124,1780,16629,9258,7371,777,470,307
40,San Luis,13554,8404,5150,3508,2077,1431,10046,6327,3719,583,407,176
41,San Martín,12971,7375,5596,3803,2262,1541,9168,5113,4055,1137,703,434
42,Santiago del Estero,16160,10967,5193,3776,2389,1387,12384,8578,3806,1310,1092,218
43,Sur,18279,10402,7877,3513,1974,1539,14766,8428,6338,1101,655,446
44,Tecnológica Nacional,80052,17071,62981,16616,3963,12653,63436,13108,50328,4757,1474,3283
45,Tierra del Fuego,571,295,276,571,295,276,-,- -,-,-,-,-
46,Tres de Febrero,12451,6390,6061,5703,2956,2747,6748,3434,3314,490,299,191
47,Tucumán,63524,39517,24007,11399,7055,4344,52125,32462,19663,2452,1508,944
48,Villa María,5798,3417,2381,2327,1434,893,3471,1983,1488,240,154,86
49,Villa Mercedes,879,615,264,879,615,264,-,- -,-,-,-,-
50,Total Institutos Universitarios,28967,15725,13242,7955,4160,3795,21012,11565,9447,2619,1057,1562
51,Aeronáutico,5616,2673,2943,889,385,504,4727,2288,2439,977,508,469
52,Instituto Univ. del Ejército,1876,269,1607,985,148,837,891,121,770,281,32,249
53,Gendarmería,1302,255,1047,451,89,362,851,166,685,199,36,163
54,IUNA,14725,10129,4596,3865,2788,1077,10860,7341,3519,156,130,26
55,Naval,804,157,647,259,64,195,545,93,452,117,21,96
56,Policía Federal Argentina,3293,1872,1421,837,470,367,2456,1402,1054,364,214,150
57,Seguridad Marítima,1351,370,981,669,216,453,682,154,528,525,116,409
58,Total Universidad provincial,20057,13217,6840,5797,3708,2089,14260,9509,4751,801,546,255
59,Autónoma de Entre Ríos,20057,13217,6840,5797,3708,2089,14260,9509,4751,801,546,255
