,Estudiantes,Estudiantes,Estudiantes,Nuevos Inscriptos,Nuevos Inscriptos,Nuevos Inscriptos,Reinscriptos,Reinscriptos,Reinscriptos,Egresados,Egresados,Egresados
Institución,Total,Mujeres,Varones,Total,Mujeres,Varones,Total,Mujeres,Varones,Total,Mujeres,Varones
Total de las Instituciones,393132,222708,170424,110057,61782,48275,283075,160926,122149,37376,23639,13737
Total Universidades Privadas,380615,215736,164879,106208,59582,46626,274407,156154,118253,36329,23072,13257
Abierta Interamericana,20464,11360,9104,5766,3323,2443,14698,8037,6661,2790,1658,1132
Aconcagua,7053,4576,2477,1642,1063,579,5411,3513,1898,673,419,254
Adventista del Plata,3354,1864,1490,536,294,242,2818,1570,1248,383,210,173
Argentina de la Empresa,26767,13099,13668,6768,3488,3280,19999,9611,10388,3092,1867,1225
Argentina John F. Kennedy,8737,5020,3717,1318,812,506,7419,4208,3211,707,424,283
Atlántida Argentina,1228,733,495,336,191,145,892,542,350,140,85,55
Austral,3278,1916,1362,1014,583,431,2264,1333,931,366,213,153
Belgrano,12972,6274,6698,2884,1306,1578,10088,4968,5120,611,296,315
Blas Pascal,9189,5125,4064,3470,1890,1580,5719,3235,2484,1221,729,492
CAECE,4795,2439,2356,842,480,362,3953,1959,1994,525,298,227
Católica Argentina,15429,8044,7385,3859,2049,1810,11570,5995,5575,2287,1347,940
Católica de Córdoba,8194,4741,3453,1774,1059,715,6420,3682,2738,1167,727,440
Católica de Cuyo,7482,4581,2901,1589,988,601,5893,3593,2300,914,629,285
Católica de La Plata,8643,5087,3556,1791,1065,726,6852,4022,2830,533,339,194
Católica de Salta,25650,14967,10683,6058,3366,2692,19592,11601,7991,1542,985,557
Católica de Santa Fe,5936,3548,2388,914,558,356,5022,2990,2032,442,274,168
Católica de Santiago del Estero,7156,4354,2802,1678,982,696,5478,3372,2106,373,218,155
CEMA,749,266,483,151,63,88,598,203,395,114,47,67
Centro Educativo Latinoamericano,3976,2077,1899,811,323,488,3165,1754,1411,373,278,95
Champagnat,2846,1575,1271,328,160,168,2518,1415,1103,267,139,128
Ciencias Empresariales y Sociales,14551,7995,6556,4396,2334,2062,10155,5661,4494,1076,670,406
Cine,1312,583,729,416,194,222,896,389,507,100,51,49
Concepción del Uruguay,3354,2288,1066,707,473,234,2647,1815,832,247,163,84
Congreso,2423,1334,1089,682,378,304,1741,956,785,179,109,70
Cuenca del Plata,6871,4562,2309,1610,1037,573,5261,3525,1736,504,352,152
Empresarial Siglo 21,49949,25097,24852,21791,10676,11115,28158,14421,13737,2720,1483,1237
Este,635,389,246,241,137,104,394,252,142,80,61,19
FASTA,8141,4127,4014,2584,1285,1299,5557,2842,2715,482,278,204
Favaloro,1502,1022,480,465,320,145,1037,702,335,263,203,60
Flores,4369,2608,1761,1172,787,385,3197,1821,1376,401,221,180
Gastón Dachary,2413,1138,1275,805,414,391,1608,724,884,94,54,40
ISALUD,3817,3000,817,1469,1109,360,2348,1891,457,417,347,70
Juan Agustín Maza,3274,2053,1221,750,476,274,2524,1577,947,310,212,98
Madres de Plaza de Mayo,327,189,138,124,74,50,203,115,88,-,-,-
Maimónides,12644,9051,3593,4429,3335,1094,8215,5716,2499,3026,2339,687
Marina Mercante,4207,2039,2168,1106,553,553,3101,1486,1615,241,144,97
Mendoza,8736,4906,3830,1550,849,701,7186,4057,3129,560,344,216
Metropolitana,399,195,204,399,195,204,-,-,-,-,-,-
Morón,16572,9303,7269,4675,2698,1977,11897,6605,5292,1619,968,651
Museo Social Argentino,3050,2155,895,823,561,262,2227,1594,633,447,321,126
Norte Santo Tomás de Aquino,6490,3858,2632,1382,756,626,5108,3102,2006,571,362,209
Palermo,13182,7723,5459,4185,2476,1709,8997,5247,3750,1257,847,410
Salvador,25443,16990,8453,5987,3975,2012,19456,13015,6441,2798,2148,650
San Andrés,1014,518,496,248,128,120,766,390,376,198,106,92
San Isidro,114,76,38,114,76,38,-,-,-,-,-,-
San Pablo -T,755,308,447,210,79,131,545,229,316,27,13,14
Torcuato Di Tella,1173,583,590,359,164,195,814,419,395,192,94,98
Total Institutos Universitarios,12517,6972,5545,3849,2200,1649,8668,4772,3896,1047,567,480
CEMIC,451,325,126,133,104,29,318,221,97,42,29,13
Cs de la Salud de la Fundación Barceló,4825,3165,1660,1580,1034,546,3245,2131,1114,371,250,121
Escuela Argentina de Negocios,1247,559,688,456,206,250,791,353,438,115,63,52
Escuela de Medicina del Hospital Italiano,397,255,142,93,65,28,304,190,114,46,32,14
Escuela Universitaria de Teología,87,48,39,25,13,12,62,35,27,3,3,0
ESEADE,116,83,33,52,39,13,64,44,20,11,8,3
Gran Rosario,2752,1609,1143,943,531,412,1809,1078,731,42,34,8
ISEDET,56,24,32,6,1,5,50,23,27,47,22,25
Italiano de Rosario,659,470,189,150,108,42,509,362,147,123,86,37
ITBA,1851,413,1438,335,78,257,1516,335,1181,247,40,207
River Plate,76,21,55,76,21,55,-,-,-,-,-,-
