"",Rama,,,,,Disciplina,,,
Institución,Total Ciencias Aplicadas,Arquitectura y Diseño,,Astronomía,,Bioquímica y Farmacia,Ciencias Agropecuarias,,Ciencias del Suelo
"",EST NI RE EGRE,EST NI RE EGRE,EST,NI RE,EGRE,EST NI RE EGRE,EST NI RE EGRE,EST,NI RE EGRE
Total de las Instituciones,61.111 15.587 45.524 4.909,21.757 5.451 16.306 1.751,3.758,601 3.157,281,2.617 696 1.921 262,14.242 4.797 9.445 1.136,13.078,2.883 10.195 1.000
Total Universidades Privadas,59.326 15.259 44.067 4.676,21.757 5.451 16.306 1.751,3.723,582 3.141,281,2.617 696 1.921 262,14.242 4.797 9.445 1.136,13.025,2.883 10.142 990
Abierta Interamericana,3.184 714 2.470 442,1.056 238 818 182,-,- -,-,- - - -,- - - -,2.128,476 1.652 260
Aconcagua,567 106 461 31,49 10 39 2,-,- -,-,- - - -,300 50 250 11,142,35 107 6
Adventista del Plata,91 21 70 7,- - - -,-,- -,-,- - - -,- - - -,91,21 70 7
Argentina de la Empresa,6.079 1.471 4.608 454,2.012 646 1.366 180,-,- -,-,- - - -,1.352 253 1.099 114,1.938,395 1.543 101
Argentina John F. Kennedy,2.205 252 1.953 142,303 35 268 5,1.237,170 1.067,124,- - - -,- - - -,665,47 618 13
Atlántida Argentina,103 34 69 19,- - - -,-,- -,-,- - - -,- - - -,103,34 69 19
Austral,304 106 198 64,- - - -,-,- -,-,- - - -,205 71 134 32,99,35 64 32
Belgrano,3.711 928 2.783 167,1.960 421 1.539 49,10,0 10,0,974 375 599 74,117 20 97 0,500,75 425 33
Blas Pascal,1.098 376 722 161,438 96 342 62,-,- -,-,- - - -,317 226 91 0,195,23 172 63
CAECE,1.366 185 1.181 131,190 32 158 10,-,- -,-,- - - -,1 0 1 0,1.175,153 1.022 121
Católica Argentina,2.102 523 1.579 253,- - - -,-,- -,-,470 124 346 71,1.185 303 882 128,190,32 158 33
Católica de Córdoba,2.181 450 1.731 265,534 90 444 66,398,57 341,42,367 59 308 51,371 157 214 61,101,18 83 12
Católica de Cuyo,1.245 246 999 94,- - - -,380,51 329,42,- - - -,838 195 643 49,27,0 27 3
Católica de La Plata,888 192 696 35,502 115 387 16,-,- -,-,- - - -,280 57 223 15,106,20 86 4
Católica de Salta,3.495 976 2.519 189,1.012 270 742 53,-,- -,-,113 26 87 7,1.743 573 1.170 87,344,56 288 34
Católica de Santa Fe,981 186 795 56,888 158 730 46,-,- -,-,- - - -,- - - -,93,28 65 10
Católica de Santiago del Estero,570 145 425 52,97 71 26 21,-,- -,-,- - - -,- - - -,436,73 363 27
CEMA,83 16 67 11,- - - -,-,- -,-,- - - -,- - - -,83,16 67 11
Centro Educativo Latinoamericano,293 47 246 12,- - - -,-,- -,-,- - - -,189 35 154 12,104,12 92 0
Champagnat,244 51 193 16,132 34 98 7,-,- -,-,- - - -,- - - -,112,17 95 9
Ciencias Empresariales y Sociales,301 96 205 15,200 50 150 15,-,- -,-,- - - -,- - - -,101,46 55 0
Cine,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Concepción del Uruguay,457 83 374 40,263 47 216 13,-,- -,-,98 17 81 19,96 19 77 8,,- - - -
Congreso,135 45 90 9,135 45 90 9,-,- -,-,- - - -,- - - -,,- - - -
Cuenca del Plata,195 75 120 7,58 34 24 0,-,- -,-,- - - -,60 13 47 7,77,28 49 0
Empresarial Siglo 21,3.808 1.989 1.819 113,753 213 540 29,-,- -,-,- - - -,1.806 1.175 631 78,1.249,601 648 6
Este,191 56 135 23,191 56 135 23,-,- -,-,- - - -,- - - -,,- - - -
FASTA,2.344 798 1.546 93,- - - -,-,- -,-,- - - -,2.133 784 1.349 66,211,14 197 27
Favaloro,233 38 195 18,- - - -,-,- -,-,- - - -,- - - -,,6 0 6 0
Flores,947 208 739 131,705 172 533 37,-,- -,-,- - - -,242 36 206 94,,- - - -
Gastón Dachary,486 92 394 2,- - - -,-,- -,-,13 0 13 0,114 26 88 0,359,66 293 2
ISALUD,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Juan Agustín Maza,838 131 707 27,- - - -,471,66 405,3,- - - -,180 40 140 24,10,0 10 0
Madres de Plaza de Mayo,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Maimónides,327 45 282 15,- - - -,294,38 256,15,- - - -,- - - -,33,7 26 0
Marina Mercante,916 206 710 27,- - - -,-,- -,-,- - - -,208 59 149 8,156,37 119 4
Mendoza,2.930 517 2.413 255,2.058 365 1.693 205,-,- -,-,- - - -,329 64 265 6,340,62 278 27
Metropolitana,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Morón,5.372 1.280 4.092 416,2.227 490 1.737 98,933,200 733,55,138 23 115 8,1.191 414 777 208,345,47 298 25
Museo Social Argentino,1 0 1 1,1 0 1 1,-,- -,-,- - - -,- - - -,,- - - -
Norte Santo Tomás de Aquino,786 177 609 146,180 42 138 30,-,- -,-,13 0 13 9,509 113 396 102,84,22 62 5
Palermo,6.320 1.933 4.387 621,5.122 1.523 3.599 546,-,- -,-,- - - -,181 52 129 7,890,254 636 68
Salvador,1.597 380 1.217 85,374 121 253 16,-,- -,-,431 72 359 23,260 54 206 18,532,133 399 28
San Andrés,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
San Isidro,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
San Pablo -T,178 41 137 14,143 33 110 13,-,- -,-,- - - -,35 8 27 1,,- - - -
Torcuato Di Tella,174 44 130 17,174 44 130 17,-,- -,-,- - - -,- - - -,,- - - -
Total Institutos Universitarios,1.785 328 1.457 233,- - - -,35,19 16,0,- - - -,- - - -,53,0 53 10
CEMIC,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Cs. De la Salud de laFundación Barceló,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Escuela Argentina de Negocios,53 0 53 10,- - - -,-,- -,-,- - - -,- - - -,53,0 53 10
Escuela de Medicina del Hospital Italiano,35 19 16 0,- - - -,35,19 16,0,- - - -,- - - -,,- - - -
Escuela Universitaria de Teología,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
ESEADE,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Gran Rosario,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
ISEDET,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
Italiano de Rosario,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
ITBA,1.697 309 1.388 223,- - - -,-,- -,-,- - - -,- - - -,,- - - -
River Plate,- - - -,- - - -,-,- -,-,- - - -,- - - -,,- - - -
