"",,,,Cantidad de Materias Aprobadas (2),,
Institución,Total,,,,,
"",,0,1,2 3 4,5,6 o más
Total de las instituciones,1.122.018,383.386,171.260,139.383 110.392 90.329,69.445,157.823
Total Universidades Nacionales,1.086.746,373.549,165.780,135.724 107.430 87.914,67.376,148.973
Arturo Jauretche,3.842,1.048,500,425 351 288,232,998
Avellaneda,2.566,695,273,249 224 185,165,775
Buenos Aires,268.169,90.105,43.830,34.706 28.760 23.098,16.864,30.806
Catamarca,9.194,3.573,1.539,1.139 833 649,457,1.004
Centro de la PBA,10.888,3.642,1.677,1.288 1.022 892,698,1.669
Chaco Austral,2.063,778,330,256 202 145,128,224
Chilecito,2.713,1.884,237,145 104 81,71,191
Comahue,22.012,9.088,3.123,2.420 1.734 1.312,965,3.370
Córdoba,86.055,29.697,8.952,9.152 7.232 6.953,5.616,18.453
Cuyo,24.771,8.011,3.657,3.196 2.368 2.011,1.463,4.065
Entre Ríos,10.550,2.705,1.605,1.586 868 960,753,2.073
Formosa,7.913,3.940,1.239,850 611 419,307,547
Gral. Sarmiento,5.379,1.750,1.041,741 522 393,284,648
José C. Paz (1),...,...,...,... ... ...,...,...
Jujuy,10.963,6.245,1.628,986 665 490,298,651
La Matanza,30.101,9.608,3.760,4.157 3.179 2.645,2.053,4.699
La Pampa,6.819,1.812,1.247,981 805 614,397,963
La Plata,88.429,32.736,14.128,10.465 8.435 6.809,5.397,10.459
La Rioja,13.711,4.252,1.997,1.502 1.244 1.110,998,2.608
Lanús,9.563,3.790,1.124,1.032 771 634,508,1.704
Litoral,34.331,12.204,4.869,3.937 3.361 2.805,2.269,4.886
Lomas de Zamora,26.922,5.916,3.158,3.873 3.733 3.730,2.773,3.739
Luján,12.820,4.147,2.255,1.762 1.420 1.086,771,1.379
Mar del Plata,18.252,5.034,3.195,2.543 2.164 1.553,1.269,2.494
Misiones,15.089,5.580,2.269,1.757 1.352 1.001,842,2.288
Moreno,2.194,1.416,161,151 113 100,86,167
Nordeste,38.863,11.599,5.609,5.810 4.394 3.490,2.639,5.322
Noroeste de la PBA,4.927,1.611,807,607 461 373,284,784
Oeste,919,298,78,91 89 80,56,227
Patagonia Austral,4.213,2.060,605,440 319 218,161,410
Patagonia S. J. Bosco,9.961,5.734,1.372,1.039 664 441,324,387
Quilmes,16.797,7.589,1.986,1.660 1.463 1.099,901,2.099
Río Cuarto,12.189,4.062,1.385,1.304 1.109 1.013,873,2.443
Río Negro,3.645,1.069,424,384 355 299,229,885
Rosario,59.091,21.562,9.603,7.186 5.830 4.774,3.716,6.420
Salta,22.059,11.392,3.629,2.242 1.597 1.027,749,1.423
San Juan,16.629,1.379,4.453,3.093 2.190 1.757,1.376,2.381
San Luis,10.046,3.454,1.757,1.254 933 735,613,1.300
San Martín,9.168,2.486,1.385,1.064 907 791,610,1.925
Santiago del Estero,12.384,4.647,2.086,1.286 972 719,619,2.055
Sur,14.766,3.976,2.366,2.008 1.705 1.416,1.127,2.168
Tecnológica Nacional,63.436,17.141,10.172,9.533 6.503 5.437,4.187,10.463
Tierra del Fuego,-,-,-,- - -,-,-
Tres de Febrero,6.748,1.633,904,902 775 644,516,1.374
Tucumán,52.125,21.777,8.623,6.041 4.688 3.323,2.462,5.211
Villa María,3.471,424,742,481 403 315,270,836
Villa Mercedes,-,-,-,- - -,-,-
Total Institutos Universitarios,21.012,3.916,3.480,2.303 1.856 1.541,1.377,6.539
Aeronáutico,4.727,1.642,875,561 419 359,274,597
Instituto Univ. del Ejército,891,86,18,26 16 20,18,707
Gendarmería,851,158,0,0 0 0,0,693
IUNA,10.860,1.702,2.256,1.510 1.223 966,743,2.460
Naval,545,0,0,0 0 0,156,389
Policía Federal Argentina,2.456,279,215,202 194 195,183,1.188
Seguridad Marítima,682,49,116,4 4 1,3,505
Total Universidad provincial,14.260,5.921,2.000,1.356 1.106 874,692,2.311
Autónoma de Entre Ríos,14.260,5.921,2.000,1.356 1.106 874,692,2.311
